Trade Date,Settle
2011-03-25,18.5
2011-03-28,18.6
2011-03-29,18.3
2011-03-30,18.0
2011-03-31,18.0
2011-04-01,17.8
2011-04-04,16.6
2011-04-05,16.75
2011-04-06,16.75
2011-04-07,16.5
2011-04-08,16.5
2011-04-11,16.25
2011-04-12,16.5
2011-04-13,16.25
2011-04-14,16.5
2011-04-15,16.5
2011-04-18,18.25
2011-04-19,17.1
2011-04-20,17.35
2011-04-21,17.25
2011-04-25,17.75
2011-04-26,17.7
2011-04-27,17.9
2011-04-28,17.95
2011-04-29,20.0
2011-05-02,21.0
2011-05-03,19.25
2011-05-04,19.7
2011-05-05,22.0
2011-05-06,21.25
2011-05-09,20.5
2011-05-10,20.0
2011-05-11,20.25
2011-05-12,20.0
2011-05-13,20.0
2011-05-16,20.0
2011-05-17,19.5
2011-05-18,18.79
2011-05-19,17.7
2011-05-20,18.15
2011-05-23,18.5
2011-05-24,18.5
2011-05-25,18.5
2011-05-26,18.0
2011-05-27,18.0
2011-05-31,16.75
2011-06-01,16.75
2011-06-02,16.75
2011-06-03,16.75
2011-06-06,17.0
2011-06-07,16.5
2011-06-08,16.0
2011-06-09,16.0
2011-06-10,16.0
2011-06-13,16.65
2011-06-14,16.0
2011-06-15,15.32
2011-06-16,18.0
2011-06-17,18.0
2011-06-20,18.0
2011-06-21,17.5
2011-06-22,17.0
2011-06-23,17.3
2011-06-24,17.5
2011-06-27,17.5
2011-06-28,16.25
2011-06-29,16.0
2011-06-30,16.0
2011-07-01,15.9
2011-07-05,15.9
2011-07-06,15.9
2011-07-07,15.9
2011-07-08,16.25
2011-07-11,16.75
2011-07-12,16.75
2011-07-13,16.75
2011-07-14,18.5
2011-07-15,18.0
2011-07-18,18.5
2011-07-19,18.0
2011-07-20,17.82
2011-07-21,18.0
2011-07-22,18.0
2011-07-25,18.0
2011-07-26,18.0
2011-07-27,18.55
2011-07-28,18.25
2011-07-29,18.25
2011-08-01,18.25
2011-08-02,18.25
2011-08-03,19.5
2011-08-04,20.0
2011-08-05,21.0
2011-08-08,24.0
2011-08-09,27.0
2011-08-10,29.0
2011-08-11,29.0
2011-08-12,26.0
2011-08-15,24.0
2011-08-16,24.0
2011-08-17,25.54
2011-08-18,24.0
2011-08-19,26.0
2011-08-22,26.5
2011-08-23,28.5
2011-08-24,28.5
2011-08-25,29.0
2011-08-26,28.5
2011-08-29,29.0
